Kanji,Kana,Romaji,Ý nghĩa
一月,いちがつ,ichigatsu,Tháng 1
二月,にがつ,nigatsu,Tháng 2
三月,さんがつ,sangatsu,Tháng 3
四月,しがつ,shigatsu,Tháng 4
五月,ごがつ,gogatsu,Tháng 5
六月,ろくがつ,rokugatsu,Tháng 6
七月,しちがつ,shichigatsu,Tháng 7
八月,はちがつ,hachigatsu,Tháng 8
九月,くがつ,kugatsu,Tháng 9
十月,じゅうがつ,juugatsu,Tháng 10
十一月,じゅういちがつ,juuichigatsu,Tháng 11
十二月,じゅうにがつ,juunigatsu,Tháng 12
一日,ついたち,tsuitachi,Ngày mùng 1
二日,ふつか,futsuka,Ngày mùng 2
三日,みっか,mikka,Ngày mùng 3
四日,よっか,yokka,Ngày mùng 4
五日,いつか,itsuka,Ngày mùng 5
六日,むいか,muika,Ngày mùng 6
七日,なのか,nanoka,Ngày mùng 7
八日,ようか,youka,Ngày mùng 8
九日,ここのか,kokonoka,Ngày mùng 9
十日,とおか,tooka,Ngày mùng 10
十一日,じゅういちにち,juuichinichi,Ngày 11
二十日,はつか,hatsuka,Ngày 20
三十一日,さんじゅういちにち,sanjuuichinichi,Ngày 31
先週,せんしゅう,senshuu,Tuần trước
今週,こんしゅう,konshuu,Tuần này
来週,らいしゅう,raishuu,Tuần sau
先月,せんげつ,sengetsu,Tháng trước
今月,こんげつ,kongetsu,Tháng này
来月,らいげつ,raigetsu,"Tháng tới, tháng sau"
去年,きょねん,kyonen,Năm ngoái
今年,ことし,kotoshi,Năm nay
来年,らいねん,rainen,"Sang năm, năm tới"
毎週,まいしゅう,maishuu,Hàng tuần
毎月,まいげつ,maigetsu,"Hàng tháng, mỗi tháng"
毎年,まいねん,mainen,Hàng năm
来ます,きます,kimasu,"Đến, tới"
帰ります,かえります,kaerimasu,"Quay về, trở lại"
故郷,ふるさと,furusato,"Quê hương, quê nhà"
電車,でんしゃ,densha,"Tàu điện, xe lửa"
バス,バス,basu,Xe buýt
タクシー,タクシー,takushii,Taxi
飛行機,ひこうき,hikouki,Máy bay
歩きます,あるきます,arukimasu,Đi bộ
箸,はし,hashi,Đũa
はさみ,はさみ,hasami,Cái kéo
紙,かみ,kami,Tờ giấy
切ります,きります,kirimasu,Cắt
新幹線,しんかんせん,shinkansen,Tàu siêu tốc
自転車,じてんしゃ,jitensha,Xe đạp
誕生日,たんじょうび,tanjoubi,Ngày sinh nhật
友達,ともだち,tomodachi,Bạn bè
家族,かぞく,kazoku,Gia đình
両親,りょうしん,ryoushin,"Bố mẹ, cha mẹ"
妹,いもうと,imouto,Em gái
公園,こうえん,kouen,Công viên
料理,りょうり,ryouri,Nấu ăn
野菜,やさい,yasai,Rau xanh
魚,さかな,sakana,Cá
卵,たまご,tamago,Quả trứng
次,つぎ,tsugi,"Tiếp theo, tiếp đến"
川,かわ,kawa,Con sông
名前,なまえ,namae,Tên
お金,おかね,okane,"Tiền, của cải"
舟,ふね,fune,"Tàu, thuyền"
何時,いつ,itsu,"Khi nào, bao giờ"
動物園,どうぶつえん,doubutsuen,Vườn bách thú
サラダ,サラダ,sarada,Salad
ぶどう,ぶどう,budou,"Quả nho, chùm nho"
