Kanji,Kana,Romaji,Ý nghĩa
一つ,ひとつ,hitotsu,Một cái
二つ,ふたつ,futatsu,Hai cái
三つ,みっつ,mittsu,Ba cái
四つ,よっつ,yottsu,Bốn cái
五つ,いつつ,itsutsu,Năm cái
六つ,むっつ,muttsu,Sáu cái
七つ,ななつ,nanatsu,Bảy cái
八つ,やっつ,Yattsu,Tám cái
九つ,ここのつ,kokonotsu,Chín cái
十,とお,too,Mười cái
一台,いちだい,ichidai,"Một chiếc (máy móc, xe)"
二台,にだい,nidai,"Hai chiếc (máy móc, xe)"
三台,さんだい,sandai,"Ba chiếc (máy móc, xe)"
四台,よんだい,yondai,"Bốn chiếc (máy móc, xe)"
五台,ごだい,godai,"Năm chiếc (máy móc, xe)"
六台,ろくだい,rokudai,"Sáu chiếc (máy móc, xe)"
七台,ななだい,nanadai,"Bảy chiếc (máy móc, xe)"
八台,はちだい,hachidai,"Tám chiếc (máy móc, xe)"
九台,きゅうだい,kyuudai,"Chín chiếc (máy móc, xe)"
十台,じゅうだい,juudai,"Mười chiếc (máy móc, xe)"
弟,おとうと,otouto,Em trai (của mình)
皆,みんな,minna,Mọi người
バイク,バイク,baiku,"Xe máy, xe mô tô"
デート,デート,deeto,Cuộc hẹn hò
行います,おこないます,okonaimasu,"Tổ chức, tiến hành"
疲れます,つかれます,tsukaremasu,"Mệt, mệt mỏi"
水,みず,mizu,"Nước, thủy"
切手,きって,kitte,"Tem, phiếu"
書留,かきとめ,kakitome,Gửi đảm bảo
はがき,はがき,hagaki,Bưu thiếp
速達,そくたつ,sokutatsu,Chuyển phát nhanh
テスト,テスト,tesuto,Bài kiểm tra
船便,ふなびん,funabin,Vận chuyển đường biển
姉,あね,ane,Chị gái (của mình)
姉妹,しまい,shimai,Chị em gái
兄弟,きょうだい,kyoudai,"Huynh đệ, anh em"
カレー,カレー,karee,Món cari
アイスクリーム,アイスクリーム,aisukuriimu,Kem
一人,ひとり,hitori,"Một mình, một người"
二人,ふたり,futari,Hai người
行ってらっしゃい,いってらっしゃい,itterasshai,Anh/chị đi rồi về nhé
外国,がいこく,gaikoku,Nước ngoài
