Kanji,Kana,Romaji,Ý nghĩa
戦争,せんそう,sensou,Chiến tranh
スカート,スカート,sukaato,Váy ngắn
留学する,りゅうがくする,ryuugakusuru,Du học
卒業する,そつぎょうする,sotsugyousuru,Tốt nghiệp
入学する,にゅうがくする,nyuugakusuru,Nhập học
辞める,やめる,Yameru,"Bỏ, thôi"
片づける,かたづける,katadukeru,"Dọn dẹp, lau dọn"
考える,かんがえる,kangaeru,"Nghĩ, suy nghĩ"
地震,じしん,jishin,Động đất
お世話になる,おせわになる,osewaninaru,"Bị mắc nợ, mang ơn"
役に立つ,やくにたつ,yakunitatsu,"Có tác dụng, có ích"
研究生,けんきゅうせい,kenkyuusei,Nghiên cứu sinh
怖い,こわい,kowai,"Sợ, khiếp sợ"
工場,こうじょう,koujou,"Nhà máy, công trường"
実習,じっしゅう,jisshuu,Sự thực tập
専門,せんもん,senmon,Chuyên môn
着く,つく,tsuku,"Đến (ga, nhà hàng,…)"
選択する,せんたくする,sentakusuru,"Tuyển chọn, lựa chọn"
言葉,ことば,kotoba,"Từ ngữ, lời nói"
卒業する,そつぎょうする,sotsugyousuru,Tốt nghiệp
自分,じぶん,jibun,Tự mình
頑張る,がんばる,ganbaru,"Kiên trì, bền bỉ, cố gắng"
計画,けいかく,keikaku,"Kế hoạch, dự kiến, dự định"
サイン,サイン,sain,"Kí hiệu, kí tên"
ベル,ベル,beru,Cái chuông
