Kanji,Kana,Romaji,Ý nghĩa
横,よこ,Hoành,Bên cạnh
間,あいだ,Gian,Giữa
上,うえ,Thượng,Trên
下,した,Hạ,Dưới
前,まえ,Tiền,Trước
犬,いぬ,Khuyển,Con chó
猫,ねこ,Miêu,Con mèo
象,ぞう,Tượng,Con voi
木,き,Mộc,Cây
物,もの,Vật,Đồ vật
机,つくえ,Kỷ,Bàn làm việc
棚,たな,Bằng,"Ngăn, kệ"
県,けん,Huyện,Huyện
薬,くすり,Dược,Thuốc
頭,あたま,Đầu,Đầu
絵,え,Hội,Tranh
字,じ,Tự,Chữ
歌,うた,Ca,Bài hát
所,ところ,Sở,"Nơi, chỗ"
寮,りょう,Liêu,Ký túc xá
山,やま,Sơn,Núi
町,まち,Đinh,"Phố, thị trấn"
桜,さくら,Anh,Hoa anh đào
手,て,Thủ,Tay
箸,はし,Trứ,Đũa
鋏,はさみ,Kiệp,Cái kéo
肉,にく,Nhục,Thịt
