Kanji,Kana,Romaji,Ý nghĩa
体,からだ,Thể,Cơ thể
鼻,はな,Tị,Mũi
髪,かみ,Phát,Tóc
顔,かお,Nhan,Khuôn mặt
目,め,Mục,Mắt
耳,みみ,Nhĩ,Tai
口,くち,Khẩu,Miệng
歯,は,Xỉ,Răng
足,あし,Túc,Chân
緑,みどり,Lục,"Màu xanh lá cây, cây cỏ"
春,はる,Xuân,Xuân
夏,なつ,Hạ,Hạ
秋,あき,Thu,Thu
冬,ふゆ,Đông,Đông
雨,あめ,Vũ,Mưa
右,みぎ,Hữu,Phải
左,ひだり,Tả,Trái
中,なか,Trung,Trong
外,そと,Ngoại,Ngoài
隣,となり,Lân,Bên cạnh
側,そば,Trắc,Bên cạnh
