Kanji,Kana,Romaji,Ý nghĩa
魚,さかな,Ngư,Cá
水,みず,Thủy,Nước
卵,たまご,Noãn,Trứng
人,ひと,Nhân,Người
駅,えき,Dịch,Nhà ga
船,ふね,Thuyền,Thuyền
朝,あさ,Triều,Sáng
昼,ひる,Trú,Trưa
今,いま,Kim,Bây giờ
百,ひゃく,Bách,Trăm
千,せん,Thiên,Nghìn
万,まん,Vạn,Vạn
家,うち,Gia,Nhà
靴,くつ,Ngoa,Giày
庭,にわ,Đình,Sân vườn
机,つくえ,Kỷ,Bàn
窓,まど,Song,Cửa sổ
傘,かさ,Tán,Cái ô
鞄,かばん,Bạc,Cặp sách
箱,はこ,Tương,Hộp
誰,だれ,Thùy,Ai
本,ほん,Bản,Quyển sách
鍵,かぎ,Kiện,Chìa khóa
私,わたし,Tư,Tôi
